ano,avaliacao,nome,rank
2017,8.75,Gloomhaven,1
2017,8.60,Pandemic Legacy: Season 1,2
2017,8.67,Brass: Birmingham,3
2017,8.42,Terraforming Mars,4
2017,8.68,Twilight Imperium: Fourth Edition,5
2017,8.70,Gloomhaven: Jaws of the Lion,6
2017,8.48,Gaia Project,7
2017,8.42,Star Wars: Rebellion,8
2017,8.39,Through the Ages: A New Story of Civilization,9
2017,8.51,War of the Ring: Second Edition,10
2017,8.36,Spirit Island,11
2017,8.30,Great Western Trail,12
2017,8.28,Twilight Struggle,13
2017,8.22,Scythe,14
2017,8.13,The Castles of Burgundy,15
2017,8.11,7 Wonders Duel,16
2017,8.39,Nemesis,17
2017,8.13,Terra Mystica,18
2017,8.12,Concordia,19
2017,8.18,Brass: Lancashire,20
2017,8.20,A Feast for Odin,21
2017,8.10,Wingspan,22
2017,8.17,Arkham Horror: The Card Game,23
2017,8.31,Dune: Imperium,24
2017,8.06,Viticulture Essential Edition,25
2017,8.10,Root,26
2017,8.08,Orléans,27
2017,8.10,Mage Knight Board Game,28
2017,8.09,Everdell,29
2017,7.97,Puerto Rico,30
2017,8.12,Food Chain Magnate,31
2017,8.00,Caverna: The Cave Farmers,32
2017,7.99,Blood Rage,33
2017,8.70,Clank!: Legacy – Acquisitions Incorporated,34
2017,7.93,Agricola,35
2017,8.21,Maracaibo,36
2017,8.21,Marvel Champions: The Card Game,37
2017,8.44,Too Many Bones,38
2017,8.11,Pandemic Legacy: Season 2,39
2017,8.03,Mansions of Madness: Second Edition,40
2017,8.10,Lost Ruins of Arnak,41
2017,7.97,The Crew: The Quest for Planet Nine,42
2017,8.23,Barrage,43
2017,8.10,Underwater Cities,44
2017,8.11,Anachrony,45
2017,8.68,Eclipse: Second Dawn for the Galaxy,46
2017,7.89,Tzolk'in: The Mayan Calendar,47
2017,7.84,Power Grid,48
2017,8.06,The 7th Continent,49
2017,8.61,Kingdom Death: Monster,50
2017,7.99,Clans of Caledonia,51
2017,8.03,Mechs vs. Minions,52
2017,8.00,Star Wars: Imperial Assault,53
2017,7.87,Le Havre,54
2017,8.36,Pax Pamir: Second Edition,55
2017,8.26,On Mars,56
2017,8.06,The Gallerist,57
2017,7.80,Azul,58
2017,7.88,Eclipse,59
2017,7.90,Through the Ages: A Story of Civilization,60
2017,8.20,Lisboa,61
2017,8.02,Aeon's End,62
2017,7.88,Android: Netrunner,63
2017,7.84,The Quacks of Quedlinburg,64
2017,7.94,Crokinole,65
2017,8.09,Fields of Arle,66
2017,8.03,Paladins of the West Kingdom,67
2017,7.76,Race for the Galaxy,68
2017,7.82,Robinson Crusoe: Adventures on the Cursed Island,69
2017,7.82,Clank!: A Deck-Building Adventure,70
2017,7.84,The Voyages of Marco Polo,71
2017,7.93,Teotihuacan: City of Gods,72
2017,7.74,7 Wonders,73
2017,7.78,Five Tribes,74
2017,8.01,Agricola (Revised Edition),75
2017,7.84,Dominant Species,76
2017,7.75,Lords of Waterdeep,77
2017,7.88,Grand Austria Hotel,78
2017,7.79,Keyflower,79
2017,8.27,Tainted Grail: The Fall of Avalon,80
2017,7.81,Architects of the West Kingdom,81
2017,7.75,El Grande,82
2017,7.75,Caylus,83
2017,7.74,Battlestar Galactica: The Board Game,84
2017,7.83,Twilight Imperium: Third Edition,85
2017,7.75,Troyes,86
2017,7.71,Dominion: Intrigue,87
2017,7.79,Eldritch Horror,88
2017,7.88,Mombasa,89
2017,8.01,The Lord of the Rings: Journeys in Middle-Earth,90
2017,7.84,Rising Sun,91
2017,7.77,Raiders of the North Sea,92
2017,8.65,Pandemic Legacy: Season 0,93
2017,7.64,Patchwork,94
2017,7.76,Russian Railroads,95
2017,7.70,Tigris & Euphrates,96
2017,7.88,Lorenzo il Magnifico,97
2017,7.93,The Isle of Cats,98
2017,7.76,Trajan,99
2017,7.79,Decrypto,100
2015,7.60,Codenames,101
2015,7.65,Roll for the Galaxy,102
2015,7.81,Inis,103
2015,7.61,Dominion,104
2015,7.59,Pandemic,105
2015,7.85,Clank! In! Space!: A Deck-Building Adventure,106
2015,7.70,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,107
2015,7.76,Champions of Midgard,108
2015,7.85,Yokohama,109
2015,7.91,Pandemic: Iberia,110
2015,8.39,Aeon's End: War Eternal,111
2015,7.70,Kemet,112
2015,7.97,Forbidden Stars,113
2015,7.72,Cartographers,114
2015,8.18,Vinhos Deluxe Edition,115
2015,7.81,PARKS,116
2015,7.93,Trickerion: Legends of Illusion,117
2015,7.74,Res Arcana,118
2015,7.67,Alchemists,119
2015,7.67,Star Wars: X-Wing Miniatures Game,120
2015,7.78,Legendary Encounters: An Alien Deck Building Game,121
2015,7.98,Endeavor: Age of Sail,122
2015,7.58,Star Realms,123
2015,7.56,Stone Age,124
2015,7.79,Age of Steam,125
2015,8.15,Cthulhu: Death May Die,126
2015,7.64,Targi,127
2015,7.54,Ticket to Ride: Europe,128
2015,7.57,Istanbul,129
2015,7.82,It's a Wonderful World,130
2015,7.60,Welcome To...,131
2015,7.92,Watergate,132
2015,7.68,Hansa Teutonica,133
2015,7.67,Descent: Journeys in the Dark (Second Edition),134
2015,7.63,That's Pretty Clever!,135
2015,7.66,The Lord of the Rings: The Card Game,136
2015,7.77,War of the Ring,137
2015,7.67,Chaos in the Old World,138
2015,8.63,Kanban EV,139
2015,7.78,Azul: Summer Pavilion,140
2015,7.55,Dead of Winter: A Crossroads Game,141
2015,7.88,Xia: Legends of a Drift System,142
2015,7.50,Jaipur,143
2015,7.72,Rajas of the Ganges,144
2015,7.69,Railways of the World,145
2015,7.56,The Resistance: Avalon,146
2015,7.56,Memoir '44,147
2015,7.62,The Quest for El Dorado,148
2015,7.61,Just One,149
2015,7.55,Castles of Mad King Ludwig,150
2015,7.69,Dinosaur Island,151
2015,7.70,Ora et Labora,152
2015,7.58,A Game of Thrones: The Board Game (Second Edition),153
2015,8.09,Marco Polo II: In the Service of the Khan,154
2015,7.53,Magic: The Gathering,155
2015,7.54,Cosmic Encounter,156
2015,7.81,This War of Mine: The Board Game,157
2015,7.52,Sagrada,158
2015,7.79,Horrified,159
2015,7.77,Commands & Colors: Ancients,160
2015,8.03,Sekigahara: The Unification of Japan,161
2015,7.51,Suburbia,162
2015,7.64,Ticket to Ride: Nordic Countries,163
2015,7.77,Near and Far,164
2015,7.83,Detective: A Modern Crime Board Game,165
2015,7.52,Village,166
2015,7.95,Combat Commander: Europe,167
2015,7.55,Captain Sonar,168
2015,7.63,Nations,169
2015,7.74,Chronicles of Crime,170
2015,7.99,Viscounts of the West Kingdom,171
2015,8.35,Concordia Venus,172
2015,8.06,Paths of Glory,173
2015,8.00,Glen More II: Chronicles,174
2015,7.54,Codenames: Duet,175
2015,7.85,Star Realms: Colony Wars,176
2015,7.67,Coimbra,177
2015,7.79,Calico,178
2015,7.51,T.I.M.E Stories,179
2015,7.44,Splendor,180
2015,7.58,Tichu,181
2015,7.64,Go,182
2015,7.66,La Granja,183
2015,7.91,Tyrants of the Underdark,184
2015,8.12,Praga Caput Regni,185
2015,7.48,Ra,186
2015,7.42,Carcassonne,187
2015,7.42,Ticket to Ride,188
2015,8.01,Beyond the Sun,189
2015,7.44,Santorini,190
2015,7.67,Zombicide: Black Plague,191
2015,7.83,Kanban: Driver's Edition,192
2015,7.56,Legendary: A Marvel Deck Building Game,193
2015,7.52,Cyclades,194
2015,7.95,War Chest,195
2015,7.59,Space Base,196
2015,7.55,Secret Hitler,197
2015,7.58,Goa,198
2015,7.53,The Princes of Florence,199
2015,7.70,YINSH,200
2011,7.26,Takenoko,301
2011,8.45,The Crew: Mission Deep Sea,302
2011,7.37,Agricola: All Creatures Big and Small,303
2011,7.76,Arkham Horror (Third Edition),304
2011,7.35,Bärenpark,305
2011,7.52,Altiplano,306
2011,7.59,Evolution: Climate,307
2011,7.43,Harry Potter: Hogwarts Battle,308
2011,7.91,Here I Stand,309
2011,7.46,Bunny Kingdom,310
2011,8.07,Forgotten Waters,311
2011,7.64,51st State: Master Set,312
2011,7.23,For Sale,313
2011,7.25,San Juan,314
2011,7.33,Notre Dame,315
2011,7.61,Die Macher,316
2011,7.38,At the Gates of Loyang,317
2011,7.65,Camel Up (Second Edition),318
2011,7.28,The Pillars of the Earth,319
2011,7.80,Monikers,320
2011,7.40,Endeavor,321
2011,7.51,Gùgōng,322
2011,7.38,Blood Bowl: Team Manager – The Card Game,323
2011,8.00,Star Realms: Frontiers,324
2011,7.19,Lost Cities,325
2011,7.43,Gizmos,326
2011,8.43,Mythic Battles: Pantheon,327
2011,7.29,Saint Petersburg,328
2011,7.33,In the Year of the Dragon,329
2011,7.72,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,330
2011,7.64,Bruxelles 1893,331
2011,7.65,Nusfjord,332
2011,8.00,Sword & Sorcery,333
2011,7.70,Awkward Guests,334
2011,7.41,Ticket to Ride: Märklin,335
2011,7.32,Tiny Towns,336
2011,7.39,Azul: Stained Glass of Sintra,337
2011,7.17,King of Tokyo,338
2011,7.27,Innovation,339
2011,7.51,Claustrophobia,340
2011,7.61,Clash of Cultures,341
2011,7.68,Nippon,342
2011,7.88,Tekhenu: Obelisk of the Sun,343
2011,8.09,Hallertau,344
2011,7.57,Carpe Diem,345
2011,7.62,Dune,346
2011,7.50,Civilization,347
2011,7.53,Space Hulk (Third Edition),348
2011,7.59,London (Second Edition),349
2011,8.00,Advanced Squad Leader,350
2011,7.24,Codenames: Pictures,351
2011,7.49,San Juan (Second Edition),352
2011,7.55,The Godfather: Corleone's Empire,353
2011,7.60,Newton,354
2011,7.70,Pandemic: Fall of Rome,355
2011,7.98,Maria,356
2011,7.33,Abyss,357
2011,7.29,Mice and Mystics,358
2011,7.85,Paleo,359
2011,7.27,Dice Forge,360
2011,7.53,Stockpile,361
2011,7.25,Arkham Horror,362
2011,8.15,Dice Throne: Season Two – Battle Chest,363
2011,7.35,The Manhattan Project,364
2011,7.50,Ginkgopolis,365
2011,7.28,Fresco,366
2011,7.42,Macao,367
2011,7.91,The Red Cathedral,368
2011,7.32,Charterstone,369
2011,7.34,Downforce,370
2011,7.39,Firefly: The Game,371
2011,7.50,Twice as Clever!,372
2011,7.52,Santa Maria,373
2011,7.35,Chinatown,374
2011,7.72,Millennium Blades,375
2011,7.87,Thunderstone Quest,376
2011,8.68,Aeon's End: The New Age,377
2011,8.26,Unmatched: Cobble & Fog,378
2011,7.19,Flash Point: Fire Rescue,379
2011,7.85,Blood Bowl: Living Rulebook,380
2011,7.80,The Great Zimbabwe,381
2011,7.39,A Few Acres of Snow,382
2011,7.29,Point Salad,383
2011,7.47,Spartacus: A Game of Blood and Treachery,384
2011,7.86,Bonfire,385
2011,7.41,Lancaster,386
2011,7.31,Glen More,387
2011,7.27,Quadropolis,388
2011,7.20,Biblios,389
2011,7.19,Kingsburg,390
2011,7.44,Heroscape Master Set: Rise of the Valkyrie,391
2011,7.41,Pandemic: Reign of Cthulhu,392
2011,7.41,Risk Legacy,393
2011,7.48,Lord of the Rings: The Confrontation,394
2011,7.21,Skull,395
2011,7.57,Imperial Settlers: Empires of the North,396
2011,7.29,Pandemic: The Cure,397
2011,7.37,BattleLore,398
2011,7.46,Amerigo,399
2011,8.01,Commands & Colors: Napoleonics,400
2018,7.45,Sprawlopolis,401
2018,7.32,Schotten Totten,402
2018,7.31,Amun-Re,403
2018,7.12,Sheriff of Nottingham,404
2018,7.27,PitchCar,405
2018,7.67,1775: Rebellion,406
2018,7.97,Shadows of Brimstone: City of the Ancients,407
2018,7.30,Descent: Journeys in the Dark,408
2018,7.29,Mansions of Madness,409
2018,7.54,Blood Bowl (Third Edition),410
2018,7.29,Mystic Vale,411
2018,7.13,Forbidden Desert,412
2018,7.31,Raptor,413
2018,7.45,Wavelength,414
2018,7.90,BattleCON: Devastation of Indines,415
2018,7.59,"Labyrinth: The War on Terror, 2001 – ?",416
2018,7.31,Deus,417
2018,7.60,Madeira,418
2018,7.11,Colt Express,419
2018,7.93,The King's Dilemma,420
2018,7.53,Stuffed Fables,421
2018,7.07,Hanabi,422
2018,7.98,Ankh: Gods of Egypt,423
2018,8.08,Fire in the Lake,424
2018,7.67,Exit: The Game – Dead Man on the Orient Express,425
2018,7.14,Catan,426
2018,7.69,Pipeline,427
2018,7.08,Citadels,428
2018,7.11,Shadows over Camelot,429
2018,7.14,Friday,430
2018,7.34,Lords of Vegas,431
2018,7.69,Marvel United,432
2018,7.35,London,433
2018,7.33,Archipelago,434
2018,7.19,Legends of Andor,435
2018,7.15,Chess,436
2018,7.45,First Class: All Aboard the Orient Express!,437
2018,7.58,Freedom: The Underground Railroad,438
2018,7.18,Imhotep,439
2018,7.26,Small World Underground,440
2018,7.24,Euphoria: Build a Better Dystopia,441
2018,7.52,Black Orchestra,442
2018,7.41,Junk Art,443
2018,7.77,Betrayal Legacy,444
2018,7.21,The Fox in the Forest,445
2018,7.20,Sentinels of the Multiverse,446
2018,7.18,The Grizzled,447
2018,7.73,Roads & Boats,448
2018,7.70,Time's Up! Title Recall!,449
2018,7.71,Smartphone Inc.,450
2018,7.30,Citadels,451
2018,7.68,Argent: The Consortium,452
2018,7.41,Egizia,453
2018,7.12,One Night Ultimate Werewolf,454
2018,7.15,Libertalia,455
2018,7.10,Thurn and Taxis,456
2018,7.83,Sidereal Confluence,457
2018,7.67,Terraforming Mars: Ares Expedition,458
2018,7.12,Ingenious,459
2018,7.15,Potion Explosion,460
2018,7.30,Airlines Europe,461
2018,7.66,Mandala,462
2018,7.58,Escape Plan,463
2018,7.24,Queendomino,464
2018,7.22,Elysium,465
2018,7.66,TZAAR,466
2018,7.63,Oceans,467
2018,7.04,Bohnanza,468
2018,7.06,No Thanks!,469
2018,7.25,Railroad Ink: Deep Blue Edition,470
2018,7.48,Vinhos,471
2018,7.19,Tales of the Arabian Nights,472
2018,7.08,RoboRally,473
2018,7.25,Vikings,474
2018,7.47,Hadara,475
2018,7.48,Blackout: Hong Kong,476
2018,7.13,Port Royal,477
2018,7.04,Sushi Go!,478
2018,7.49,Runebound (Third Edition),479
2018,7.95,1846: The Race for the Midwest,480
2018,7.20,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,481
2018,7.62,The Colonists,482
2018,7.19,Last Will,483
2018,7.44,Skull King,484
2018,7.28,Taj Mahal,485
2018,7.24,Chicago Express,486
2018,7.10,Photosynthesis,487
2018,7.68,Pax Porfiriana,488
2018,7.20,Karuba,489
2018,7.34,StarCraft: The Board Game,490
2018,7.24,Discworld: Ankh-Morpork,491
2018,7.22,Colosseum,492
2018,7.03,Alhambra,493
2018,7.80,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,494
2018,7.18,Paperback,495
2018,7.22,Nexus Ops,496
2018,7.54,Baseball Highlights: 2045,497
2018,7.46,Love Letter Premium,498
2018,7.55,Hammer of the Scots,499
2018,8.04,Oath: Chronicles of Empire and Exile,500
2014,7.27,AquaSphere,501
2014,8.05,Blood Bowl (2016 Edition),502
2014,7.45,DVONN,503
2014,8.07,Destinies,504
2014,7.11,Evolution,505
2014,7.33,Automobile,506
2014,7.70,Space Empires: 4X,507
2014,8.26,Cloudspire,508
2014,7.04,Camel Up,509
2014,7.23,KeyForge: Call of the Archons,510
2014,7.20,A Game of Thrones,511
2014,7.69,Conan,512
2014,7.24,Carson City,513
2014,7.41,Francis Drake,514
2014,7.55,A Game of Thrones: The Card Game (Second Edition),515
2014,7.18,Broom Service,516
2014,7.52,Struggle of Empires,517
2014,7.47,Gears of War: The Board Game,518
2014,7.11,Tobago,519
2014,7.50,Star Wars: Destiny,520
2014,7.14,Zombicide,521
2014,7.08,Through the Desert,522
2014,7.13,Carcassonne: Hunters and Gatherers,523
2014,7.06,Jamaica,524
2014,7.27,Quantum,525
2014,8.19,Dawn of the Zeds (Third Edition),526
2014,7.13,Las Vegas,527
2014,7.82,Zombie Kidz Evolution,528
2014,8.23,Star Wars: X-Wing (Second Edition),529
2014,7.45,Valeria: Card Kingdoms,530
2014,7.65,Earth Reborn,531
2014,7.36,Snowdonia,532
2014,7.00,Coup,533
2014,7.56,Mare Nostrum: Empires,534
2014,7.13,Thebes,535
2014,7.54,The Republic of Rome,536
2014,7.02,Magic Maze,537
2014,7.09,High Society,538
2014,7.31,Silver & Gold,539
2014,7.16,Trains,540
2014,7.36,One Night Ultimate Werewolf: Daybreak,541
2014,7.60,Dice Throne: Season One,542
2014,7.94,Raiders of Scythia,543
2014,7.16,Taluva,544
2014,8.85,Middara: Unintentional Malum – Act 1,545
2014,7.06,Betrayal at House on the Hill,546
2014,7.25,Summoner Wars,547
2014,7.02,Formula D,548
2014,7.78,In the Hall of the Mountain King,549
2014,7.29,Time's Up!,550
2014,8.16,Triumph & Tragedy: European Balance of Power 1936-1945,551
2014,8.03,Pax Renaissance,552
2014,8.05,Shadows of Brimstone: Swamps of Death,553
2014,7.43,Shakespeare,554
2014,7.87,The Battle of Five Armies,555
2014,7.69,Cuba Libre,556
2014,7.41,Dixit: Journey,557
2014,7.84,The King Is Dead: Second Edition,558
2014,7.23,Belfort,559
2014,7.81,Star Trek: Ascendancy,560
2014,7.87,Anno 1800,561
2014,7.16,Medici,562
2014,7.20,Lord of the Rings: The Confrontation,563
2014,7.41,Nova Luna,564
2014,7.36,Thunderstone Advance: Towers of Ruin,565
2014,7.00,Mr. Jack,566
2014,7.25,Smash Up: Awesome Level 9000,567
2014,7.76,Zombicide: Green Horde,568
2014,7.68,Cooper Island,569
2014,6.97,Coloretto,570
2014,7.14,The Downfall of Pompeii,571
2014,6.96,Kingdom Builder,572
2014,7.55,"Air, Land & Sea",573
2014,7.31,Luna,574
2014,7.30,Defenders of the Realm,575
2014,7.21,Exit: The Game – The Pharaoh's Tomb,576
2014,7.16,Draftosaurus,577
2014,7.14,Cuba,578
2014,7.11,Torres,579
2014,7.27,Myrmes,580
2014,7.23,Specter Ops,581
2014,6.99,Escape: The Curse of the Temple,582
2014,7.78,Leaving Earth,583
2014,7.12,Fury of Dracula (Second Edition),584
2014,7.10,Cacao,585
2014,7.58,ZhanGuo,586
2014,7.69,Blitzkrieg!: World War Two in 20 Minutes,587
2014,7.62,Love Letter,588
2014,6.98,Elder Sign,589
2014,7.35,Warhammer Quest: The Adventure Card Game,590
2014,6.97,Tokaido,591
2014,7.22,Yamataï,592
2014,7.31,Between Two Castles of Mad King Ludwig,593
2014,7.21,Steampunk Rally,594
2014,7.15,HeroQuest,595
2014,7.47,Wallenstein,596
2014,6.93,6 nimmt!,597
2014,7.17,Vegas Showdown,598
2014,7.54,Crusaders: Thy Will Be Done,599
2014,7.17,Tash-Kalar: Arena of Legends,600
2014,7.84,Arkwright,601
2014,7.83,Advanced Squad Leader: Starter Kit #1,602
2014,7.27,Love Letter: Batman,603
2014,7.21,The Networks,604
2014,7.30,The Oracle of Delphi,605
2014,7.67,Feudum,606
2014,6.94,BANG! The Dice Game,607
2014,7.20,Century: Eastern Wonders,608
2014,7.54,Canvas,609
2014,7.84,Wir sind das Volk!,610
2014,8.29,D-Day at Omaha Beach,611
2014,8.14,Unmatched: Robin Hood vs. Bigfoot,612
2014,7.17,Dragon Castle,613
2014,7.75,Telestrations: 12 Player Party Pack,614
2014,7.73,Unlock!: Heroic Adventures,615
2014,7.39,Prêt-à-Porter,616
2014,7.02,Eminent Domain,617
2014,7.05,K2,618
2014,7.23,Mexica,619
2014,7.07,Onirim (Second Edition),620
2014,7.87,Up Front,621
2014,7.08,Yspahan,622
2014,7.34,My Little Scythe,623
2014,7.30,Ashes Reborn: Rise of the Phoenixborn,624
2014,7.97,Arcadia Quest: Inferno,625
2014,7.39,Middle-Earth Quest,626
2014,7.35,Shipyard,627
2014,7.78,Atlantis Rising (Second Edition),628
2014,7.03,Ascension: Deckbuilding Game,629
2014,7.87,Empires: Age of Discovery,630
2014,7.29,Fort,631
2014,7.67,Churchill,632
2014,7.48,Space Hulk,633
2014,7.10,Carcassonne: The Castle,634
2014,7.37,The Duke,635
2014,7.86,City of the Big Shoulders,636
2014,7.02,Between Two Cities,637
2014,7.63,Cubitos,638
2014,7.18,Cry Havoc,639
2014,7.30,Treasure Island,640
2014,7.06,Cribbage,641
2014,7.58,Whitehall Mystery,642
2014,7.38,Zombicide Season 2: Prison Outbreak,643
2014,7.66,Pan Am,644
2014,7.43,Century: A New World,645
2014,7.05,Disney Villainous,646
2014,7.00,Space Hulk: Death Angel – The Card Game,647
2014,7.28,Coal Baron,648
2014,7.07,Reef,649
2014,7.04,Diplomacy,650
2014,7.17,Caverna: Cave vs Cave,651
2014,7.25,World Without End,652
2014,7.28,Villagers,653
2014,7.00,Oh My Goods!,654
2014,7.19,Ex Libris,655
2014,7.29,Civilization: A New Dawn,656
2014,7.23,Warhammer: Invasion,657
2014,7.74,Fleet: The Dice Game,658
2014,7.17,A Fake Artist Goes to New York,659
2014,7.49,Saint Petersburg (Second Edition),660
2014,7.50,Star Trek: Fleet Captains,661
2014,6.93,Wits & Wagers,662
2014,7.08,Kanagawa,663
2014,7.54,Shards of Infinity,664
2014,7.80,1989: Dawn of Freedom,665
2014,6.94,King of New York,666
2014,7.48,The Estates,667
2014,8.09,Black Rose Wars,668
2014,7.38,Super Motherload,669
2014,7.90,Meadow,670
2014,7.39,AuZtralia,671
2014,8.10,Summoner Wars: Alliances Master Set,672
2014,7.11,Exit: The Game – The Secret Lab,673
2014,6.97,Deep Sea Adventure,674
2014,7.04,Blue Moon City,675
2014,7.64,Washington's War,676
2014,7.07,Among the Stars,677
2014,7.53,New Frontiers,678
2014,7.16,Vast: The Crystal Caverns,679
2014,7.32,Panamax,680
2014,7.24,Dungeons & Dragons: The Legend of Drizzt Board Game,681
2014,7.06,Finca,682
2014,6.87,Blokus,683
2014,7.36,Black Angel,684
2014,8.10,7 Wonders (Second Edition),685
2014,6.87,The Mind,686
2014,7.53,Squad Leader,687
2014,7.23,Vasco da Gama,688
2014,7.22,Tribune: Primus Inter Pares,689
2014,8.26,Kemet: Blood and Sand,690
2014,7.04,FUSE,691
